long,lat
-71.51667,-42.01667
146.9333,-41.9833
146.666,-41.983
148.18,-41.98
-71.46971,-41.96859
146.65,-41.966
146.666,-41.966
147.616,-41.966
147.633,-41.966
-71.5397,-41.9658
147.5,-41.95
147.616,-41.95
147.4,-41.93
147.57,-41.93
147.67,-41.93
147.7,-41.93
147.4910217,-41.92861016
146.78,-41.92
145.333,-41.9
146.72,-41.9
146.833,-41.883
146.85,-41.883
148.3010081,-41.87860291
146.0333634,-41.87212253
146.0410432,-41.86862244
146.53333,-41.86667
146.916,-41.85
148.266,-41.85
-69.22752,-41.8455
146.0352626,-41.82620222
146.0486023,-41.82001206
147.22,-41.82
146.683,-41.816
147.366,-41.816
146.0487022,-41.81280201
-70.87578,-41.80899
146.0475921,-41.80649198
146.666,-41.8
146.85,-41.8
146.97,-41.8
146.1416505,-41.79462108
145.566,-41.783
145.47,-41.78
145.5,-41.78
146.72,-41.78
146.72,-41.77
146.7,-41.766
146.716,-41.766
146.183,-41.75000004
145.55,-41.75
146.17999,-41.75
146.183,-41.75
146.7,-41.75
172.83,-41.75
146.7010312,-41.74861589
146.7010311,-41.73861583
145.916,-41.733
146.72,-41.7
174,-41.7
145.9510417,-41.68862208
145.95,-41.683
146.233,-41.683
146.72,-41.68
146.93,-41.68
-70.2833,-41.66836
146.733,-41.666
146.7010299,-41.66531538
145.971041,-41.65862171
-71.79,-41.65
146.8,-41.63
147.03,-41.63
148.25,-41.63
146.65,-41.6
-70.76,-41.59
-71.49295,-41.58588
146.05,-41.583
-70.76,-41.58
-70.66,-41.58
147.3,-41.58
148.2,-41.58
148.17333,-41.57917
147.333,-41.566
-70.67494,-41.56411
-71.77354,-41.56212
-70.86785,-41.55642
146.066,-41.55
146.566,-41.55
147.666,-41.55
-70.67883,-41.54546
-71.49538,-41.54286
-71,-41.53
-70.78,-41.52
-70.6856,-41.5185
-71.56133,-41.51547
-70.99545,-41.51272
-71.48271,-41.51094
-70.78,-41.51
-71.53859,-41.50712
146.6167,-41.5
-70.73921,-41.49956
-71.03679,-41.49909
-71.69407,-41.49299
-70.69474,-41.48108
-71.57,-41.48
-70.78,-41.48
145.52,-41.48
146.05,-41.48
-66.8,-41.4667
-70.66924,-41.45602
146.18,-41.45
147.116,-41.45
147.11667,-41.45
147.166,-41.45
147.17,-41.45
147.1410197,-41.4386102
-71.48775,-41.4332
145.52,-41.43
-71.27088,-41.42636
-71.49126,-41.4234
145.52,-41.42
-72.62667,-41.40444
-71.5,-41.4
147.3,-41.4
147.76,-41.3975
146.1710338,-41.38861827
147.416,-41.383
147.42,-41.38
146.5,-41.37
146.533,-41.366
146.8,-41.366
-71.55206,-41.3589
-71.5333,-41.35
-71.53,-41.35
145.35,-41.35
-71.02878,-41.33363
148.1,-41.33
-71.75641,-41.32802
144.9003118,-41.32740903
-71.41596,-41.32275
147.25,-41.32
-72.98333,-41.31667
-71.04582,-41.31338
-71.25618,-41.30146
-69.89374,-41.3
146.93,-41.3
146.933,-41.3
146.9410206,-41.29861107
-71.27136,-41.29526
-71.24314,-41.29436
144.9324708,-41.29285853
-70.73271,-41.29084
148.001004,-41.288602
173.33094,-41.28654
174.77624,-41.28646
173.2833,-41.2833
147.43,-41.28
-71.32729,-41.2742
-71.50885,-41.27135
173.28397,-41.27063
-71.41284,-41.27004
146.45,-41.27
-71.21204,-41.26979
-71.27379,-41.26974
-68.73246,-41.26434
-71.31,-41.26
148.290999,-41.25859939
-71.28623,-41.25808
-71.28601,-41.25794
144.8274517,-41.25489921
-71.60523,-41.25267
173.31627,-41.25045
-71.31,-41.25
147.216,-41.25
148.15,-41.25
-71.64498,-41.24386
-71.31,-41.24
-71.81745,-41.23692
-71.37109,-41.2285
-71.01116,-41.22642
-71.19445,-41.22076
-70.87412,-41.21269
-71.5,-41.2
-71.82661,-41.19976
-71.48594,-41.19809
-71.79582,-41.19788
-71.23315,-41.19148
-71.56093,-41.19066
-71.35,-41.18333
146.35,-41.183
-69.92,-41.18
-69.45541,-41.1701
148.17,-41.17
-71.43476,-41.16877
-71.47594,-41.1663
147.566,-41.166
-71.25917,-41.16482
-71.31,-41.16
-70.8577,-41.15474
-71.3527,-41.1521
-71.3833,-41.15
-71.37,-41.15
-71.27,-41.15
-71.38048,-41.14721
-71.33455,-41.14252
-71.29,-41.14
-71.65201,-41.13231
-71.20519,-41.1307
-71.6,-41.13
-71.22,-41.13
-71.21,-41.13
-70.58,-41.13
-70.57,-41.13
-70.7093,-41.12292
147.87,-41.12
-70.90835,-41.11394
174.43491,-41.11079
-71.21921,-41.11067
-71.43506,-41.10752
-70.92849,-41.10583
-71.55787,-41.10527
-70.67898,-41.10241
-72.5,-41.1
146.78,-41.1
-70.39,-41.09
-70.95571,-41.08567
-70.95778,-41.08432
146.75,-41.083
147.52,-41.08
147.931002,-41.07860139
-71.81072,-41.07311
-70.34271,-41.07041
-70.55,-41.07
-70.98705,-41.06718
-70.83924,-41.0665
-70.83775,-41.0664
-71.55109,-41.06346
-70.995,-41.06258
-70.99378,-41.06235
-70.40952,-41.06014
-71,-41.06
-71.53018,-41.05943
-71.57238,-41.05922
-71.03771,-41.05617
-70.84305,-41.05548
-71.3716,-41.05051
-71.56,-41.05
-71.52,-41.05
-71.05,-41.05
-71.01,-41.05
-70.35,-41.05
148.28,-41.05
-71.52739,-41.04989
-71.00566,-41.04949
-71.56169,-41.04334
-70.41674,-41.04328
-71.56,-41.04
-71.1538,-41.03845
-71.21271,-41.03829
-71.24779,-41.03617
-70.41936,-41.03563
-71.74269,-41.03459
-71.81667,-41.03333
-70.2628,-41.03208
-70.43903,-41.03153
-71.21,-41.03
-71.34,-41.02955
-70.53126,-41.02418
-71.2318,-41.02377
-70.56543,-41.02334
-71.82279,-41.02207
-71.18989,-41.0219
-71.23,-41.02
-71.21,-41.02
-70.47,-41.02
-71.60486,-41.01833
145.06667,-41.01667
-70.57928,-41.01583
-71.54401,-41.01347
-71.81,-41.01
-71.53,-41.01
-71.26,-41.01
-71.2,-41.01
-71.19,-41.01
-71.16957,-41.00814
-71.8244,-41.00708
-71.15569,-41.00602
147.38,-41
-71.18755,-40.99362
-67.3167,-40.9833
-71.15,-40.98
-70.47,-40.98
-70.42,-40.98
-70.88473,-40.97594
-71.52663,-40.97083
